;pais;Imunizados;media_vacinacao;vacina_utilizada
0;China;3263129000;6930367;['CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001']
1;India;1834500657;4175994;['Covaxin, Oxford/AstraZeneca, Sputnik V']
2;United States;560181791;1191726;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
3;Brazil;413559595;943528;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
4;Indonesia;377108938;846289;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
5;Japan;254345587;621579;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
6;Bangladesh;243642749;545305;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
7;Pakistan;219368557;543005;['CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
8;Vietnam;203144374;531094;['Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
9;Mexico;191907868;413425;['CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
10;Germany;171940027;376157;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
11;Russia;163601171;348084;['EpiVacCorona, Sputnik V']
12;Philippines;148799120;366565;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V']
13;Turkey;146881913;335191;['Pfizer/BioNTech, Sinovac, Turkovac']
14;Iran;146792557;353519;['COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V']
15;France;141666197;310496;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
16;United Kingdom;140968337;314084;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
17;Italy;135870869;297057;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
18;Thailand;128882372;325147;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
19;South Korea;120604515;304251;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
20;England;118170701;263118;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
21;Argentina;96504666;211860;['CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
22;Spain;93807121;211667;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
23;Canada;82076782;174861;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
24;Colombia;80573164;199319;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
25;Egypt;76716981;180728;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
26;Malaysia;68795057;172594;['CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
27;Peru;65552891;158889;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
28;Saudi Arabia;62388851;140828;['Oxford/AstraZeneca, Pfizer/BioNTech']
29;Australia;56242913;139830;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
30;Morocco;54201634;129595;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
31;Poland;53908363;118210;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
32;Chile;50302179;110743;['CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
33;Taiwan;49481298;132288;['Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
34;Myanmar;49316486;115394;['Oxford/AstraZeneca, Sinopharm/Beijing']
35;Uzbekistan;44177104;126605;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001']
36;Nepal;39935568;93219;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
37;Sri Lanka;39102567;93516;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
38;Venezuela;37860994;94416;['Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V']
39;Cambodia;36819740;89116;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
40;Cuba;35342367;112676;['Abdala, Soberana Plus, Soberana02']
41;Netherlands;34038677;78358;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
42;South Africa;33485691;82096;['Johnson&Johnson, Pfizer/BioNTech']
43;Ecuador;33165706;76930;['CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
44;Ukraine;31683310;86612;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
45;Nigeria;31391732;79384;['Oxford/AstraZeneca']
46;Ethiopia;29373478;82072;['Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
47;Mozambique;26215793;68509;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
48;Belgium;25235826;55675;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
49;United Arab Emirates;24463702;52912;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V']
50;Portugal;22923599;52330;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
51;Sweden;21053545;47109;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
52;Kazakhstan;20918681;52755;['QazVac, Sinopharm/Beijing, Sputnik V']
53;Greece;20503242;44892;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
54;Rwanda;19421047;49407;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
55;Austria;18131115;41115;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
56;Israel;18062854;38966;['Moderna, Pfizer/BioNTech']
57;Iraq;17536902;45163;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
58;Angola;17535411;44821;['Oxford/AstraZeneca']
59;Czechia;17492052;38274;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
60;Kenya;17327143;45371;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
61;Uganda;17197954;46254;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
62;Romania;16736886;36703;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
63;Hungary;16429829;36555;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
64;Guatemala;15845925;39704;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V']
65;Switzerland;15635047;33830;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
66;Dominican Republic;15484878;38024;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
67;Hong Kong;14944464;37143;['Pfizer/BioNTech, Sinovac']
68;Singapore;13825593;30461;['Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
69;Algeria;13704895;33904;['Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V']
70;Azerbaijan;13425032;30749;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
71;Denmark;13211743;27808;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
72;Tunisia;13037269;34852;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
73;Bolivia;12972370;31452;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
74;Ghana;12637542;34918;['Oxford/AstraZeneca, Sputnik V']
75;Scotland;12115448;27103;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
76;Honduras;11995048;30641;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V']
77;Finland;11679339;25960;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
78;Belarus;11634483;25748;['Sinopharm/Beijing, Sputnik V']
79;Norway;11269240;23424;['Moderna, Pfizer/BioNTech']
80;New Zealand;10950139;26790;['Oxford/AstraZeneca, Pfizer/BioNTech']
81;Ireland;10741777;23581;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
82;Tajikistan;10439469;33018;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
83;El Salvador;10418549;25894;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
84;Cote d'Ivoire;10364488;26387;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
85;Costa Rica;10166273;21988;['Oxford/AstraZeneca, Pfizer/BioNTech']
86;Laos;10048983;26548;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V']
87;Jordan;9727982;23001;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
88;Nicaragua;9611936;24720;['Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V']
89;Zimbabwe;9039729;21669;['Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V']
90;Serbia;8494958;19383;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
91;Paraguay;8428214;21228;['Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
92;Uruguay;8027751;20316;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
93;Panama;7889044;18310;['Oxford/AstraZeneca, Pfizer/BioNTech']
94;Kuwait;7814545;17270;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
95;Turkmenistan;7580976;40493;['EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001']
96;Slovakia;7052526;15706;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V']
97;Oman;6986946;15537;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
98;Wales;6927437;15518;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
99;Qatar;6607185;14281;['Moderna, Pfizer/BioNTech']
100;Sudan;6131070;16776;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
101;Guinea;5952680;16514;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
102;Afghanistan;5751015;14610;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
103;Mongolia;5478794;13703;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
104;Lebanon;5276097;12886;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
105;Croatia;5224151;11492;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
106;Tanzania;5031070;21883;['Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing']
107;Lithuania;4465769;9779;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
108;Bulgaria;4348404;9555;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
109;Northern Ireland;3754751;8341;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
110;Palestine;3694897;10085;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V']
111;Bahrain;3421273;7471;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V']
112;Libya;3415834;10024;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
113;Zambia;3402612;9649;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
114;Syria;3369196;8695;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V']
115;Benin;3333450;10398;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
116;Slovenia;2977006;6507;['Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech']
117;Kyrgyzstan;2902889;7893;['Sinopharm/Beijing, Sputnik V']
118;Latvia;2874324;5998;['Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech']
119;Georgia;2857215;7509;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
120;Togo;2757575;7509;['Oxford/AstraZeneca']
121;Albania;2754244;6276;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
122;Niger;2681673;7425;['Oxford/AstraZeneca, Sinopharm/Beijing']
123;Mauritania;2650797;7358;['Oxford/AstraZeneca, Sinopharm/Beijing']
124;Botswana;2517260;5873;['Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
125;Senegal;2496373;6478;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
126;Mauritius;2494317;6041;['Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing']
127;Somalia;2395219;6609;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
128;Burkina Faso;2369487;8126;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
129;Sierra Leone;2134324;5634;['Oxford/AstraZeneca, Sinopharm/Beijing']
130;Moldova;2123778;5445;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
131;Armenia;2088962;5992;['Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V']
132;Malawi;1993981;5510;['Johnson&Johnson, Oxford/AstraZeneca']
133;Estonia;1971557;4313;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
134;Bosnia and Herzegovina;1924950;5436;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V']
135;Mali;1873615;5137;['Oxford/AstraZeneca']
136;North Macedonia;1836421;4623;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
137;Kosovo;1821917;4977;['Oxford/AstraZeneca, Pfizer/BioNTech']
138;Bhutan;1787937;5647;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
139;Cyprus;1773485;4248;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
140;Cameroon;1558668;4327;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
141;Trinidad and Tobago;1543684;3790;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
142;Jamaica;1393819;3633;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
143;Fiji;1308235;3479;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
144;Madagascar;1306962;4132;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
145;Timor;1297126;3783;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
146;Luxembourg;1280144;2824;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
147;Malta;1255851;2866;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
